Varunummer,Vivino_url,Vivino_betyg,Vivino_antal_recensioner,matched_date
278002,https://www.vivino.com/sv/el-coto-blanco/w/8617,3.5,20563,
211901,https://www.vivino.com/sv/cave-de-turckheim-reserve-pinot-gris/w/1828535,3.7,7578,
589901,https://www.vivino.com/w/75191,3.7,601,
2266201,https://www.vivino.com/w/22352,3.7,352,
9238801,https://www.vivino.com/sv/thorn-clarke-wines-sandpiper-shiraz/w/2208664,3.7,1592,
2015901,https://www.vivino.com/sv/bodega-norton-barrel-select-malbec/w/1136013,3.6,24975,
5520601,https://www.vivino.com/sv/iconic-wines-wine-of-sweden-petite-orange-pinot-gris/w/10479505,3.6,1993,
2201801,https://www.vivino.com/sv/porta-6-branco/w/3904933,3.7,10894,
5489308,https://www.vivino.com/sv/fontanafredda-barbera-nebbiolo-piedmont/w/12318197,3.7,272,
7021701,https://www.vivino.com/sv/el-masroig-les-sorts-seleccio-montsant/w/7134396,3.7,4695,
273401,https://www.vivino.com/sv/bodegas-marques-de-caceres-crianza/w/10247,3.7,109438,
5192901,https://www.vivino.com/w/1117577,3.7,129,
227501,https://www.vivino.com/sv/gadais-pere-and-fils-domaine-de-la-tourmaline-muscadet-de-sevre-et-maine-sur-lie/w/1144992,3.7,3192,
747102,https://www.vivino.com/sv/alexandre-bonnet-perle-rosee-brut-champagne/w/1286508,3.7,2310,
9283701,https://www.vivino.com/sv/vallegre-touriga-nacional/w/6783712,3.8,757,
297101,https://www.vivino.com/sv/sister-s-run-old-testament-cabernet-sauvignon-coonawarra/w/1583481,3.7,8781,
7152901,https://www.vivino.com/w/1300916,3.7,505,
450002,https://www.vivino.com/sv/claude-vialade-chatelaine-la-clape/w/5769983,3.7,5762,
752002,https://www.vivino.com/w/2440064,3.7,5094,
