Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,Vivino_betyg,Vivino_antal_recensioner,Matchningssäkerhet,Matchningskälla,Vivino_url
241701,Privat Brut Nature Reserva Chardonnay,Cava Privat,159.0,750 ml,Glasflaska,Torrt vitt,Spanien,Chardonnay,3.6,597,0.74,vivino-sök,https://www.vivino.com/w/2397838
1228401,Jean Biecher Riesling Organic Réserve,Jean Biecher,119.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Frankrike,Riesling,3.6,3323,,vertex-ai-search,https://www.vivino.com/sv/jean-biecher-riesling-organic-alsace/w/7928201
1267001,El Coto Crianza,El Coto de Rioja,99.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Spanien,Tempranillo,3.6,76344,,vertex-ai-search,https://www.vivino.com/sv/el-coto-crianza/w/8619
607701,Mulderbosch Rosé,Mulderbosch Vineyards,99.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Sydafrika,Cabernet sauvignon,3.6,7960,,vertex-ai-search,https://www.vivino.com/sv/mulderbosch-vineyards-cabernet-sauvignon-rose/w/16494
774201,Pizzolato Vino Spumante Rosé Organic,La Cantina Pizzolato,99.0,750 ml,Glasflaska,Rosé,Italien,"Glera, Raboso",,,,,
3243101,Boira' Sangiovese,Cantine Volpi,115.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Italien,Sangiovese,3.6,11555,,vertex-ai-search,https://www.vivino.com/sv/boira-sangiovese/w/1165743
8253101,Bouchard Aîné & Fils Pinot Noir,Bouchard Aîné et Fils,99.0,750 ml,,Mjukt & Bärigt,Frankrike,Pinot noir,3.6,2734,,vertex-ai-search,https://www.vivino.com/sv/bouchard-aine-et-fils-pinot-noir-bourgogne/w/83012
2230001,Fontanafredda Ebbio Langhe Nebbiolo,Fontanafredda,149.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Italien,Nebbiolo,3.6,19889,,vertex-ai-search,https://www.vivino.com/sv/fontanafredda-ebbio-langhe-nebbiolo-langhe-red-wine-v/w/4275592
3241701,Villa Puccini,Castellani,99.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,"Sangiovese, Merlot",3.6,13432,,vertex-ai-search,https://www.vivino.com/sv/villa-puccini-toscana/w/1153756
7425501,Pietro Di Campo Barbera Silenzio,Pietro Di Campo,99.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Italien,Barbera,3.6,17789,,vertex-ai-search,https://www.vivino.com/sv/pietro-di-campo-silenzio-barbera/w/2251762
274001,Amarone della Valpolicella,Luigi Righetti,219.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,,3.7,3015,,websearch,https://www.vivino.com/sv/luigi-righetti-amarone-della-valpolicella/w/91761
