Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,AssortmentText,IsNewInAssortment,ProductLaunchDate,Argang,IsCompletelyOutOfStock,IsTemporaryOutOfStock,IsDiscontinued,IsSupplierTemporaryNotAvailable
7396408,Minuty Prestige Rosé,Château Minuty,1150.0,3000 ml,Glasflaska,,Frankrike,,Ordervaror,False,2012-06-01,2025,False,False,False,False
7249401,Sierra Cantabria Rosado,Bodegas Sierra Cantabria,149.0,750 ml,Lättare glasflaska,,Spanien,,Ordervaror,False,2012-08-01,2018,False,False,False,False
259006,M de Minuty Rosé,Château Minuty,429.0,1500 ml,Glasflaska,,Frankrike,,Ordervaror,False,2012-10-01,2025,False,False,False,False
7929501,Marqués de Riscal Rosado,Marqués de Riscal,129.0,750 ml,Lättare glasflaska,,Spanien,,Ordervaror,False,2013-04-02,2023,False,False,False,False
7935501,Rose et Or,Château Minuty,299.0,750 ml,Glasflaska,,Frankrike,,Ordervaror,False,2013-04-02,2025,False,False,False,False
7947001,Conde Valdemar Rosé,Bodegas Valdemar,129.0,750 ml,Lättare glasflaska,,Spanien,,Ordervaror,False,2013-05-02,2022,False,True,False,True
7956001,Rosa dei Frati Cà dei Frati,Cà dei Frati,199.0,750 ml,Glasflaska,,Italien,,Ordervaror,False,2013-06-01,2025,False,False,False,False
7962501,Popova Kula Stanushina Rosé,Popova Kula,122.0,750 ml,Glasflaska,,Nordmakedonien,,Ordervaror,False,2013-06-01,2022,False,False,False,False
7322301,Envite Rosado,Bodegas San Prudencio S.A.,150.0,750 ml,Glasflaska,,Spanien,,Ordervaror,False,2017-11-08,2017,False,False,False,False
7813501,Akakies Rosé,Kir-Yianni Estate,129.0,750 ml,Glasflaska,,Grekland,Xynomavro,Ordervaror,False,2014-06-02,2025,False,False,False,False
7043504,Ohh Paul Sapin Syrah,Paul Sapin,35.0,187 ml,Lättare glasflaska,Friskt & Bärigt,Frankrike,Syrah,Ordervaror,False,2014-10-01,,False,False,False,False
7863001,Quinta Clarisa Belondrade,Belondrade S.L.,263.0,750 ml,Glasflaska,,Spanien,,Ordervaror,False,2014-11-03,2017,False,False,False,False
7825501,Haedus Rosé Château Ferry Lacombe,Château Ferry Lacombe,179.0,750 ml,Glasflaska,,Frankrike,"Grenache, Syrah, Cinsault, Vermentino",Ordervaror,False,2026-05-06,2025,False,False,False,False
7401001,Laurent Miquel Cinsault Syrah Rosé,Laurent Miquel,137.0,750 ml,Glasflaska,,Frankrike,,Ordervaror,False,2012-03-01,2025,False,False,False,False
